0xF75F  0xE543        # [Added Tone Chord] [あどこーど]
0xF760  0x2668        # HOT SPRINGS [おんせんまーく]
0xF761  0x26E9        # SHINTO SHRINE [じんじゃまーく]
0xF762  0xE546        # [Tera Mark] [てらまーく]
0xF763  0x3012        # POSTAL MARK [ゆうびんまーく]
0xF764  0x260E        # BLACK TELEPHONE [でんわまーく]
0xF765  0x213B        # FACSIMILE SIGN [ふぁっくす]
0xF79F  0x2709        # ENVELOPE [てがみ]
0xF7A0  0x1F370       # SHORTCAKE [けーき]
0xF7A1  0x1F380       # RIBBON [りぼん]
0xF7A2  0x1F4BC       # BRIEFCASE [かばん]
0xF7A3  0x2600        # BLACK SUN WITH RAYS [はれ]
0xF7A4  0x2601        # CLOUD [くもり]
0xF7A5  0x2602        # UMBRELLA [あめ]
0xF7A6  0x2603        # SNOWMAN [ゆき]
0xF7A7  0x26C5        # SUN BEHIND CLOUD [はれのちくもり]
0xF7A8  0xE58B        # [Copy] [こぴー]
0xF7A9  0xE58C        # [Keep] [きーぷ]
0xF7AA  0xE58D        # [Master] [ますたー]
0xF7AB  0x1F374       # FORK AND KNIFE [しょくじ]
0xF7AC  0x2615        # HOT BEVERAGE [こーひー]
0xF7AD  0x1F37A       # BEER [びーる]
0xF7AE  0x1F498       # HEART WITH ARROW [こいする]
0xF7AF  0x1F494       # BROKEN HEART [しつれん, やぶれたり]
0xF7B0  0x270A        # RAISED FIST [ぐー]
0xF7B1  0x270C        # VICTORY HAND [ちょき]
0xF7B2  0x270B        # RAISED HAND [ぱー]
0xF7B3  0x2680        # DIE FACE-1 [いちのめ]
0xF7B4  0x2681        # DIE FACE-2 [にのめ]
0xF7B5  0x2682        # DIE FACE-3 [さんのめ]
0xF7B6  0x2683        # DIE FACE-4 [よんのめ]
0xF7B7  0x2684        # DIE FACE-5 [ごのめ]
0xF7B8  0x2685        # DIE FACE-6 [ろくのめ]
0xF7B9  0x2708        # AIRPLANE [ひこうき]
0xF7BA  0x1F683       # RAILWAY CAR [でんしゃ]
0xF7BB  0x26F4        # FERRY [ふね]
0xF7BC  0x1F697       # AUTOMOBILE [くるま]
0xF7BD  0x1F6B2       # BICYCLE [じてんしゃ]
0xF7BE  0x1F6B6       # PEDESTRIAN [とほ]
0xF7BF  0x1F623       # PERSEVERING FACE [こまった]
0xF7C0  0x1F620       # ANGRY FACE [おこった]
0xF7C1  0x1F603       # SMILING FACE WITH OPEN MOUTH [わらった]
0xF7C2  0x1F622       # CRYING FACE [ないた]
0xF7C3  0x1F632       # ASTONISHED FACE [おどろいた]
0xF7C4  0x1F4A6       # SPLASHING SWEAT SYMBOL [あせり]
0xF7C5  0x1F4A8       # DASH SYMBOL [おこり]
0xF7C6  0xE5A9        # [Tear] [なみだ]
0xF7C7  0x1F3A4       # MICROPHONE [うた, うたう]
0xF7C8  0x1F4A1       # ELECTRIC LIGHT BULB [ひらめき]
0xF7C9  0x26BE        # BASEBALL [やきゅう]
0xF7CA  0x26BD        # SOCCER BALL [さっかー]
0xF7CB  0x1F3BE       # TENNIS RACQUET AND BALL [てにす]
0xF7CC  0x26F3        # FLAG IN HOLE [ごるふ]
0xF7CD  0x26F7        # SKIER [すきー]
0xF7CE  0x1F3C4       # SURFER [さーふぃん]
0xF7CF  0xE5B2        # [Sea] [うみ]
0xF7D0  0xE5B3        # [Mountain] [やま]
0xF7D1  0x26FA        # TENT [きゃんぷ]
0xF7D2  0x1F319       # CRESCENT MOON [つき]
0xF7D3  0x1F320       # SHOOTING STAR [ながれぼし]
0xF7D4  0x2648        # ARIES [おひつじざ]
0xF7D5  0x2649        # TAURUS [おうしざ]
0xF7D6  0x264A        # GEMINI [ふたござ]
0xF7D7  0x264B        # CANCER [かにざ]
0xF7D8  0x264C        # LEO [ししざ]
0xF7D9  0x264D        # VIRGO [おとめざ]
0xF7DA  0x264E        # LIBRA [てんびんざ]
0xF7DB  0x264F        # SCORPIUS [さそりざ]
0xF7DC  0x2650        # SAGITTARIUS [いてざ]
0xF7DD  0x2651        # CAPRICORN [やぎざ]
0xF7DE  0x2652        # AQUARIUS [みずがめざ]
0xF7DF  0x2653        # PISCES [うおざ]
0xF7E0  0x1F400       # RAT [ねずみ, ね]
0xF7E1  0x1F402       # OX [うし]
0xF7E2  0x1F405       # TIGER [とら]
0xF7E3  0x1F407       # RABBIT [うさぎ, う]
0xF7E4  0x1F409       # DRAGON [たつ]
0xF7E5  0x1F40D       # SNAKE [へび]
0xF7E6  0x1F40E       # HORSE [うま]
0xF7E7  0x1F410       # RAM [ひつじ]
0xF7E8  0x1F412       # MONKEY [さる]
0xF7E9  0x1F413       # ROOSTER [とり]
0xF7EA  0x1F415       # DOG [いぬ]
0xF7EB  0x1F417       # BOAR [いのしし, い]
0xF840  0x0020        # SPACE [はーふすぺーす]
0xF841  0x0021        # EXCLAMATION MARK [はーふかんたんふ]
0xF842  0x0022        # QUOTATION MARK [はーふいんようふ]
0xF843  0x0023        # NUMBER SIGN [はーふばんごう]
0xF844  0x0024        # DOLLAR SIGN [はーふどるまーく]
0xF845  0x0025        # PERCENT SIGN [はーふぱーせんと]
